year,region_original,region,season,measure,unit,value,source_type,source_file,source_sheet,source_table,source_excel_row
2019,Makkah,Makkah,Winter,Consumption,kWh,9811340713.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Makkah,Makkah,Winter,Cost,SAR,2019019112.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Najran,Najran,Rest of the year,Consumption,kWh,2567696293.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Najran,Najran,Rest of the year,Cost,SAR,620378720.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Najran,Najran,Winter,Consumption,kWh,743954708.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Najran,Najran,Winter,Cost,SAR,168123136.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Northern Borders,Northern Borders,Rest of the year,Consumption,kWh,1370924095.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Northern Borders,Northern Borders,Rest of the year,Cost,SAR,298024935.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Northern Borders,Northern Borders,Winter,Consumption,kWh,476021255.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Northern Borders,Northern Borders,Winter,Cost,SAR,142002715.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Riyadh,Riyadh,Rest of the year,Consumption,kWh,31818999925.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Riyadh,Riyadh,Rest of the year,Cost,SAR,9479283407.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Riyadh,Riyadh,Winter,Consumption,kWh,8929603334.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Riyadh,Riyadh,Winter,Cost,SAR,1952659947.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Tabuk,Tabuk,Rest of the year,Consumption,kWh,3745827308.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Tabuk,Tabuk,Rest of the year,Cost,SAR,743893993.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
